id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13188,Rental unit in Vancouver · ★4.83 · Studio · 2 beds · 1 bath,51466,Family Guns,,Riley Park,49.24773,-123.10509,Entire home/apt,150,3,260,2023-06-01,1.61,2,150,4,22-156193
13358,Condo in Vancouver · ★4.68 · 1 bedroom · 1 bed · 1 bath,52116,Lynn,,West End,49.28201,-123.12669,Entire home/apt,227,1,454,2023-05-22,2.88,1,247,19,22-311727
13490,Rental unit in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 bath,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150,30,98,2023-05-01,0.67,1,121,5,
14267,Home in Vancouver · ★4.76 · 1 bedroom · 2 beds · 1 bath,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150,3,34,2021-07-14,0.22,1,0,0,21-156500
14424,Guest suite in Vancouver · ★4.69 · 1 bedroom · 1 bed · 1 bath,56709,Samantha Jo,,Downtown Eastside,49.27921,-123.08835,Entire home/apt,134,30,266,2023-05-25,1.64,4,187,7,19-162091
16254,Guest suite in Vancouver · ★4.57 · 2 bedrooms · 3 beds · 1 bath,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,350,3,7,2022-07-30,0.12,1,282,2,19-162421
16611,Home in Vancouver · ★4.0 · 3 bedrooms · 4 beds · 1 bath,58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100,365,3,2018-02-16,0.05,5,89,0,
17158,Home in Vancouver · ★5.0 · 4 bedrooms · 5 beds · 3 baths,48673,Elaine,,Renfrew-Collingwood,49.25277,-123.03774,Entire home/apt,195,5,7,2021-09-29,0.05,1,55,0,18-573474
17765,Rental unit in Vancouver · ★4.60 · 1 bedroom · 1 bed · 1 bath,68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,5,203,2021-10-01,1.56,1,0,0,21-156705
18024,Home in Vancouver · 3 bedrooms · 3 beds · 1 private bath,69472,Raine,,Kensington-Cedar Cottage,49.24781,-123.07241,Private room,150,30,0,,,1,0,0,
18270,Condo in Vancouver · ★4.54 · 1 bedroom · 1 bed · 1 shared bath,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,51,30,118,2019-12-31,0.79,1,231,0,
18589,Home in Vancouver · ★4.98 · 1 bedroom · 1 bed · 1 private bath,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,Private room,141,1,477,2023-06-08,3.26,1,118,59,
18795,Home in Vancouver · ★4.55 · 1 bedroom · 1 bed · 1 private bath,70137,Kai,,West End,49.28299,-123.13008,Private room,95,30,130,2023-02-12,0.88,4,239,5,
19527,Rental unit in Vancouver · ★4.69 · 1 bedroom · 1 bed · 1 bath,74129,Bevin,,Fairview,49.26018,-123.13477,Entire home/apt,133,31,49,2022-02-27,0.3,1,74,0,20-161658
19621,Rental unit in Vancouver · 2 bedrooms · 2 beds · 2 baths,74380,Shirin,,Downtown,49.27323,-123.12032,Entire home/apt,250,30,2,2022-07-25,0.17,1,186,2,
20085,Guest suite in Vancouver · ★4.80 · 2 bedrooms · 2 beds · 1 bath,75986,Tony And Rachel,,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,99,30,78,2023-06-01,0.48,1,212,3,Exempt
21912,Home in Vancouver · ★4.71 · 1 bedroom · 1 bed · 1 private bath,83871,Adam,,Renfrew-Collingwood,49.23361,-123.05283,Private room,83,30,383,2023-05-15,2.64,3,69,32,
21913,Home in Vancouver · ★4.74 · 1 bedroom · 1 bed · 1 bath,83871,Adam,,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,107,30,226,2023-05-13,1.6,3,82,5,22-156397
24273,Rental unit in Vancouver · ★5.0 · 2 bedrooms · 3 beds · 1 bath,1267409,Julia,,Kitsilano,49.26216,-123.1715,Entire home/apt,160,30,16,2021-03-01,0.13,2,311,0,20-175617
26047,Condo in Vancouver · ★4.74 · 1 bedroom · 2 beds · 1 bath,109845,Alicia,,Downtown,49.28086,-123.12375,Entire home/apt,169,30,40,2022-10-31,0.28,4,169,2,
32746,Rental unit in Vancouver · ★4.27 · 1 bedroom · 2 beds · 1 bath,52118,Liliana,,Downtown,49.2792,-123.105,Entire home/apt,127,30,87,2022-10-03,0.56,2,283,3,
33150,Rental unit in Vancouver · ★4.97 · 1 bedroom · 2 beds · 1 bath,143724,Ili,,Riley Park,49.24677,-123.1048,Entire home/apt,175,4,120,2023-06-07,0.82,1,233,35,22-156658
35304,Home in Vancouver · ★4.75 · 1 bedroom · 1 bed · 1 bath,151996,Howie And Lisa,,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,125,2,552,2023-06-08,3.54,1,270,65,23-156312
42645,Condo in Vancouver · ★4.79 · 1 bedroom · 2 beds · 1 bath,109845,Alicia,,Downtown,49.28036,-123.1234,Entire home/apt,175,30,34,2022-08-21,0.22,4,58,2,
48146,Condo in Vancouver · 1 bedroom · 1 bed · 1 bath,219431,Damien,,Renfrew-Collingwood,49.23653,-123.02664,Entire home/apt,110,50,2,2023-04-02,0.25,2,244,2,
49736,Condo in Vancouver · ★4.89 · Studio · 1 bed · 1 bath,227101,Sarah,,Kitsilano,49.26778,-123.14674,Entire home/apt,1950,31,9,2016-08-22,0.06,1,0,0,
69763,Townhouse in Vancouver · ★4.94 · 2 bedrooms · 2 beds · 2 baths,350765,Kevin & Patrick,,West End,49.28692,-123.13227,Entire home/apt,320,30,40,2015-06-22,0.27,1,213,0,
