,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,clusters,cluster
4642,49.23787,-123.10145,250,2,4,0.74,1,35,4,0,pink
4643,49.26444,-123.12944,130,30,1,0.43,1,0,1,0,pink
4644,49.27382,-123.11622,165,30,0,0.0,1,144,0,0,pink
4645,49.25752,-123.15078,275,30,0,0.0,18,202,0,2,dark purple
4646,49.21618,-123.11688,557,3,1,0.19,1,0,1,1,purple
4647,49.23948,-123.05672,239,1,0,0.0,1,84,0,0,pink
4648,49.2696151,-123.1080414,115,30,0,0.0,36,266,0,2,dark purple
4649,49.27829,-123.10716,493,7,9,1.66,1,52,9,1,purple
4650,49.2532773,-123.100533,311,14,14,2.14,2,117,14,0,pink
4651,49.2764484,-123.0994338,456,2,5,0.94,2,328,5,1,purple
4652,49.2646725,-123.0979372,249,3,1,0.19,1,0,1,0,pink
4653,49.28219,-123.12406,462,4,27,4.48,1,229,27,1,purple
4654,49.25453,-123.16994,196,1,17,3.04,1,277,17,2,dark purple
4655,49.23955,-123.04397,131,1,4,1.67,2,297,4,2,dark purple
4656,49.29169,-123.13299,144,30,0,0.0,37,8,0,0,pink
4657,49.27888,-123.13719,155,30,2,0.45,37,36,2,0,pink
4658,49.26212,-123.06916,250,3,0,0.0,1,93,0,0,pink
4659,49.27881,-123.10692,114,30,1,1.0,2,99,1,0,pink
4660,49.22038,-123.11824,135,30,2,0.46,1,92,2,0,pink
4661,49.27961,-123.09023,371,5,21,3.5,18,8,21,1,purple
4662,49.26942,-123.1014,163,2,25,4.24,1,26,25,0,pink
4663,49.27805,-123.10679,371,2,26,4.22,1,62,26,1,purple
4664,49.2792118,-123.1214803,297,2,11,2.44,1,159,11,2,dark purple
4665,49.28035,-123.10905,126,2,40,6.56,3,62,40,0,pink
4666,49.28839,-123.1233,350,5,4,1.03,11,284,4,2,dark purple
4667,49.2548729,-123.1044101,150,3,17,2.8,1,64,17,0,pink
4668,49.23291,-123.13065,709,1,12,2.06,1,226,12,1,purple
4669,49.2782153,-123.0992978,182,5,8,1.37,1,10,8,0,pink
4670,49.25634,-123.07715,162,30,1,0.23,37,39,1,0,pink
4671,49.25622,-123.18689,560,1,24,3.93,2,100,24,1,purple
4672,49.27074093,-123.1583502,150,30,1,0.58,4,316,1,2,dark purple
4673,49.23462,-123.05973,745,1,5,1.01,1,233,5,1,purple
4674,49.2796404,-123.1088566,372,3,19,3.61,28,148,19,1,purple
4675,49.27119103,-123.1504759,226,2,24,3.98,18,87,24,0,pink
4676,49.27591,-123.12651,269,1,7,1.43,5,323,7,2,dark purple
4677,49.27575,-123.12794,277,1,11,2.05,5,333,11,2,dark purple
4678,49.27787,-123.12617,258,1,13,2.93,5,272,13,2,dark purple
4679,49.27799,-123.12667,448,1,2,0.39,5,285,2,1,purple
4680,49.22871,-123.11341,947,2,16,2.61,112,307,16,1,purple
4681,49.25737,-123.07739,179,30,1,0.21,37,39,1,0,pink
4682,49.264,-123.17097,234,3,14,2.32,2,285,14,2,dark purple
4683,49.2135613,-123.082924,300,2,1,0.2,1,187,1,2,dark purple
4684,49.2801011,-123.12652,170,2,33,6.19,2,105,33,0,pink
4685,49.25846982,-123.1452777,138,30,0,0.0,1,265,0,2,dark purple
4686,49.27277,-123.15328,201,30,0,0.0,2,160,0,2,dark purple
4687,49.26418,-123.18777,175,3,14,2.59,1,22,14,0,pink
4688,49.24411,-123.19671,205,1,27,4.45,1,58,27,0,pink
4689,49.27438466,-123.1327406,260,30,0,0.0,1,286,0,2,dark purple
4690,49.26087,-123.14267,219,30,4,0.81,112,281,4,2,dark purple
4691,49.2699956,-123.1060504,185,30,0,0.0,1,141,0,0,pink
4692,49.27705319,-123.1266112,109,1,34,7.29,2,71,34,0,pink
4693,49.26241,-123.14188,231,30,0,0.0,112,308,0,2,dark purple
4694,49.26662,-123.15592,207,30,0,0.0,112,312,0,2,dark purple
4695,49.21853,-123.06572,262,30,0,0.0,112,314,0,2,dark purple
4696,49.27794324,-123.1087464,345,3,8,2.16,3,63,8,1,purple
4697,49.25168,-123.0508,488,5,2,0.35,3,31,2,1,purple
