,listing_id,variable,value
272,5415806,price,110.0
273,5423637,price,200.0
274,5439203,price,130.0
275,5459210,price,130.0
276,5471844,price,110.0
277,5480529,price,340.0
278,5482135,price,204.0
279,5490474,price,214.0
280,5571829,price,109.0
281,5602997,price,211.0
282,5631903,price,152.0
283,5638429,price,129.0
284,5642121,price,207.0
285,5649604,price,249.0
286,5747556,price,199.0
287,5759976,price,125.0
288,5795871,price,93.0
289,5814747,price,120.0
290,5857194,price,214.0
291,5877217,price,120.0
292,5881530,price,154.0
293,5919685,price,325.0
294,5919984,price,150.0
295,6018284,price,764.0
296,6045404,price,493.0
297,6128764,price,442.0
298,6134895,price,379.0
299,6166558,price,200.0
300,6226872,price,50.0
301,6270968,price,350.0
302,6324453,price,850.0
303,6347338,price,135.0
304,6364673,price,266.0
305,6365193,price,125.0
306,6407591,price,239.0
307,6416204,price,153.0
308,6416686,price,97.0
309,6421331,price,250.0
310,6425616,price,529.0
311,6426269,price,232.0
312,6452450,price,105.0
313,6468462,price,305.0
314,6493890,price,115.0
315,6494884,price,475.0
316,6602481,price,160.0
317,6611269,price,65.0
318,6643391,price,185.0
319,6645469,price,178.0
320,6660457,price,85.0
321,6692629,price,120.0
322,6732143,price,90.0
323,6808688,price,95.0
324,6812180,price,258.0
325,6854409,price,180.0
326,6863617,price,131.0
327,6867548,price,271.0
328,6871805,price,115.0
329,6897283,price,105.0
330,6939529,price,160.0
331,6977279,price,198.0
332,6993905,price,140.0
333,7022315,price,200.0
334,7025378,price,198.0
335,7027063,price,120.0
336,7032078,price,120.0
337,7034128,price,220.0
338,7054627,price,80.0
339,7071924,price,226.0
340,7091335,price,70.0
341,7112627,price,283.0
342,7148892,price,130.0
343,7162553,price,195.0
344,7163201,price,132.0
345,7183413,price,153.0
346,7327653,price,250.0
347,7365327,price,436.0
348,7432239,price,202.0
349,7438069,price,546.0
350,7478857,price,100.0
351,7481879,price,120.0
352,7494656,price,111.0
353,7518690,price,207.0
354,7548858,price,225.0
355,7635114,price,131.0
356,7639521,price,196.0
357,7674840,price,225.0
358,7679929,price,218.0
359,7701543,price,264.0
360,7716459,price,200.0
361,7741348,price,75.0
362,7747325,price,89.0
363,7749728,price,150.0
364,7769633,price,80.0
365,7787115,price,722.0
366,7804061,price,199.0
367,7812180,price,129.0
368,7819691,price,250.0
369,7822189,price,39.0
370,7822875,price,39.0
371,7827146,price,425.0
372,7827790,price,75.0
373,7838721,price,210.0
374,7875222,price,128.0
375,7917307,price,233.0
376,7921570,price,339.0
377,7936342,price,162.0
378,7986252,price,250.0
379,7989551,price,175.0
380,7997635,price,87.0
381,8014842,price,72.0
382,8017360,price,70.0
383,8047959,price,214.0
384,8107160,price,398.0
385,8118622,price,800.0
386,8171107,price,177.0
387,8173136,price,350.0
388,8210512,price,150.0
389,8210879,price,380.0
390,8252104,price,143.0
391,8255521,price,517.0
392,8356680,price,220.0
393,8371276,price,255.0
394,8423376,price,125.0
395,8429321,price,180.0
396,8434517,price,145.0
397,8533639,price,122.0
398,8541289,price,293.0
399,8616836,price,68.0
400,8648704,price,99.0
401,8656743,price,255.0
402,8672239,price,146.0
403,8685139,price,94.0
404,8697713,price,79.0
405,8721425,price,55.0
406,8736944,price,334.0
407,8743634,price,200.0
408,8777498,price,85.0
409,8868498,price,189.0
410,8871507,price,93.0
411,8935357,price,105.0
412,8941830,price,140.0
413,9046022,price,165.0
414,9074376,price,225.0
415,9198515,price,475.0
416,9237061,price,86.0
417,9259030,price,50.0
418,9315705,price,198.0
419,9318501,price,400.0
420,9319614,price,60.0
421,9373403,price,494.0
422,9450480,price,160.0
423,9515931,price,181.0
424,9533778,price,120.0
425,9551615,price,107.0
426,9592923,price,299.0
427,9604978,price,140.0
428,9615787,price,134.0
429,9684392,price,140.0
430,9761890,price,188.0
431,9867831,price,382.0
432,9901027,price,240.0
433,10151493,price,358.0
434,10154874,price,215.0
435,10193033,price,175.0
436,10231101,price,125.0
437,10523480,price,205.0
438,10541223,price,120.0
439,10569670,price,254.0
440,10598712,price,300.0
441,10612995,price,250.0
442,10618317,price,100.0
443,10619943,price,414.0
444,10679492,price,434.0
445,10811008,price,153.0
446,10924322,price,293.0
447,10992078,price,118.0
448,11207279,price,119.0
449,11242550,price,49.0
450,11261229,price,270.0
451,11344307,price,81.0
452,11355778,price,115.0
453,11361362,price,300.0
454,11378706,price,350.0
455,11393844,price,358.0
456,11401593,price,299.0
457,11441600,price,93.0
458,11492252,price,300.0
459,11512985,price,185.0
460,11546735,price,36.0
461,11548616,price,93.0
462,11549700,price,52.0
463,11550687,price,46.0
464,11588321,price,350.0
465,11638140,price,580.0
466,11677580,price,185.0
467,11688698,price,48.0
468,11851708,price,145.0
469,11868866,price,400.0
470,11906047,price,210.0
471,11922799,price,120.0
472,11941603,price,76.0
473,11950920,price,141.0
474,12044153,price,195.0
475,12083773,price,135.0
476,12156919,price,190.0
477,12157772,price,95.0
478,12209150,price,153.0
479,12210228,price,150.0
480,12211949,price,184.0
481,12242607,price,250.0
482,12245225,price,109.0
483,12285968,price,205.0
484,12294424,price,275.0
485,12304783,price,145.0
486,12309772,price,400.0
487,12313584,price,300.0
